#[Manufacturer]; [Hostname]; [Delta t]; [Date]; [Mode]; [File Version]
Thorlabs; PM5020_5E; 10 ms; 2026-07-15T05:11:36; CW; 1

#[Ch];[Name];[Serial];[Type];[Wavelength];[Range];[Attenuation];[Unit]
0; S425C-L; 1932731; Thermopile;1064 nm; manual; 0 dB; W
1; S120VC; 230131112; Photodiode;1064 nm; auto; 0 dB; W

#[ms]; [Ch: 1]; [Ch: 2]
      3210; 1.075086E+00 ; 6.586308E-05 
      3230; 1.075212E+00 ; 6.689114E-05 
      3240; 1.074635E+00 ; 6.567185E-05 
      3250; 1.076585E+00 ; 6.454736E-05 
      3260; 1.075108E+00 ; 6.604688E-05 
      3270; 1.074272E+00 ; 6.688826E-05 
      3280; 1.076143E+00 ; 6.671936E-05 
      3290; 1.075655E+00 ; 6.564238E-05 
      3300; 1.074465E+00 ; 6.464299E-05 
      3320; 1.075359E+00 ; 6.695889E-05 
      3330; 1.076273E+00 ; 6.683500E-05 
      3340; 1.076502E+00 ; 6.565262E-05 
      3350; 1.075302E+00 ; 6.456186E-05 
      3360; 1.075960E+00 ; 6.601397E-05 
      3370; 1.076380E+00 ; 6.692762E-05 
      3380; 1.075433E+00 ; 6.676801E-05 
      3400; 1.076838E+00 ; 6.463376E-05 
      3410; 1.075572E+00 ; 6.599482E-05 
      3420; 1.077744E+00 ; 6.691708E-05 
      3430; 1.077297E+00 ; 6.689745E-05 
      3440; 1.075942E+00 ; 6.554701E-05 
      3450; 1.077143E+00 ; 6.478255E-05 
      3460; 1.076543E+00 ; 6.608188E-05 
      3470; 1.074960E+00 ; 6.684886E-05 
      3480; 1.075951E+00 ; 6.675361E-05 
      3490; 1.075461E+00 ; 6.557479E-05 
      3500; 1.074965E+00 ; 6.465521E-05 
      3510; 1.073832E+00 ; 6.604793E-05 
      3520; 1.075554E+00 ; 6.692166E-05 
      3530; 1.073850E+00 ; 6.686158E-05 
      3540; 1.075642E+00 ; 6.550993E-05 
      3550; 1.073612E+00 ; 6.468454E-05 
      3560; 1.074584E+00 ; 6.611778E-05 
      3570; 1.072602E+00 ; 6.693464E-05 
      3580; 1.072743E+00 ; 6.676475E-05 
      3590; 1.073550E+00 ; 6.557828E-05 
      3600; 1.072556E+00 ; 6.465818E-05 
      3610; 1.073246E+00 ; 6.607256E-05 
      3630; 1.074446E+00 ; 6.687704E-05 
      3640; 1.073333E+00 ; 6.543347E-05 
      3650; 1.075496E+00 ; 6.475388E-05 
      3660; 1.073678E+00 ; 6.621700E-05 
      3670; 1.076092E+00 ; 6.685199E-05 
      3680; 1.074631E+00 ; 6.665487E-05 
      3690; 1.076910E+00 ; 6.549896E-05 
      3700; 1.075554E+00 ; 6.471822E-05 
      3710; 1.074932E+00 ; 6.606690E-05 
      3720; 1.077009E+00 ; 6.704276E-05 
      3730; 1.075231E+00 ; 6.677939E-05 
      3740; 1.075036E+00 ; 6.541905E-05 
      3750; 1.075200E+00 ; 6.477735E-05 
      3760; 1.073139E+00 ; 6.620437E-05 
      3770; 1.075174E+00 ; 6.689683E-05 
      3780; 1.072971E+00 ; 6.663990E-05 
      3790; 1.074278E+00 ; 6.552522E-05 
      3800; 1.072804E+00 ; 6.471357E-05 
      3810; 1.074086E+00 ; 6.601450E-05 
      3820; 1.073202E+00 ; 6.695653E-05 
      3830; 1.073812E+00 ; 6.670460E-05 
      3840; 1.074002E+00 ; 6.539632E-05 
      3860; 1.073030E+00 ; 6.627494E-05 
      3870; 1.075470E+00 ; 6.703618E-05 
      3880; 1.073615E+00 ; 6.670555E-05 
      3890; 1.075678E+00 ; 6.549827E-05 
      3900; 1.074280E+00 ; 6.462308E-05 
      3910; 1.075568E+00 ; 6.610969E-05 
      3920; 1.073376E+00 ; 6.713265E-05 
      3930; 1.073542E+00 ; 6.675220E-05 
      3940; 1.074228E+00 ; 6.534893E-05 
      3950; 1.071957E+00 ; 6.464987E-05 
      3960; 1.071758E+00 ; 6.618350E-05 
      3970; 1.072558E+00 ; 6.706630E-05 
      3980; 1.070779E+00 ; 6.659981E-05 
      3990; 1.070619E+00 ; 6.541987E-05 
      4000; 1.071312E+00 ; 6.468835E-05 
      4010; 1.068869E+00 ; 6.620181E-05 
      4020; 1.070020E+00 ; 6.707823E-05 
      4030; 1.069557E+00 ; 6.660974E-05 
      4040; 1.068625E+00 ; 6.547189E-05 
      4050; 1.069039E+00 ; 6.474211E-05 
      4060; 1.069512E+00 ; 6.632107E-05 
      4070; 1.069563E+00 ; 6.696863E-05 
      4080; 1.069286E+00 ; 6.654012E-05 
      4090; 1.070280E+00 ; 6.552502E-05 
      4100; 1.068378E+00 ; 6.464870E-05 
      4110; 1.069719E+00 ; 6.624954E-05 
      4120; 1.070713E+00 ; 6.716396E-05 
      4130; 1.069087E+00 ; 6.653262E-05 
      4140; 1.069927E+00 ; 6.546923E-05 
      4150; 1.070956E+00 ; 6.459154E-05 
      4170; 1.070606E+00 ; 6.709047E-05 
